"";"Year";"Mo";"Da";"Ho";"Area";"Lat";"Lon";"Dep";"M"
"87";1533;1;NA;NA;"[Peru]";-12,2;-77,8;30;6,5
"88";1536;3;19;NA;"N of Xichang (Sichuan)";28,1;102,2;NA;7,5
"89";1539;11;24;NA;"[Honduras]";16,5;-86;NA;7,2
"90";1548;9;22;NA;"Bohai Sea";38;121;NA;6,4
"91";1550;NA;NA;NA;"Iran";38,2;46,2;22;7,1
"92";1552;7;2;10;"[Peru]";-16,6;-71,3;30;7,6
"93";1555;9;0;22;"Srinagar";33,5;75,5;NA;7,5
"94";1555;11;15;NA;"[Peru]";-11,9;-77,6;30;8,4
"95";1556;2;2;NA;"Huaxian (Shanxi)";34,5;109,7;NA;8,25
"96";1561;8;4;NA;"E of Zhongwei (Ningxia)";37,5;106,2;NA;7,25
"97";1562;12;2;NA;"[Dominican Republic]";19,37;-70,68;NA;7,7
"98";1563;5;28;NA;"Pyongyang Region";38,8;126,1;NA;7
"99";1564;4;20;NA;"Republique Dominicaine";19,217;-70,517;NA;7
"100";1568;12;27;NA;"Jalisco";20,2;-103,5;NA;7,1
"101";1570;2;8;5;"[Chile]";-36,75;-73;NA;8
"102";1575;3;17;6;"[Chile]";-33,4;-70,6;NA;7,25
"103";1575;12;16;18;"[Chile]";-39,8;-73,2;NA;8,25
"104";1577;11;29;NA;"[Guatemala]";14;-92,5;NA;7,2
"105";1578;8;NA;NA;"[Cuba]";19,9;-76;30;6,7
"106";1581;NA;NA;NA;"[Peru]";-12,4;-77,7;30;7,6
"107";1582;1;22;16;"[Peru]";-16,6;-71,6;30;7,5
"108";1582;8;15;NA;"[Peru]";-12,2;-77,6;30;7,8
"109";1584;3;17;NA;"[Peru]";-11,8;-77,8;30;8,4
"110";1585;6;28;2;"Athos";39,786;24,372;NA;7,06
"111";1586;1;16;NA;"Ecchu";36,6;136,9;NA;7
"112";1586;1;18;1;"Tsubu and Kinki area";36;136,9;NA;7,8
"113";1586;7;10;0;"[Peru]";-12,109;-77,028;40;8,6
"114";1588;1;4;NA;"Dead Sea";29;36;NA;7,2
"115";1588;8;9;NA;"Jianshui (Yunnan)";24;102,8;NA;7
"116";1590;NA;NA;NA;"[Peru]";-17,2;-72,9;40;7,7
"117";1591;3;14;NA;"[Mexico]";16;-92,5;0;7
"118";1595;4;21;10;"[Vrancea deep]";45,7;26,6;150;7,1
"119";1596;9;4;19;"Oita Pref.";33,3;131,6;NA;7
"120";1596;9;5;1;"Kinki area";34,65;135,6;NA;7,5
"121";1597;10;6;NA;"Bohai Sea";38,5;120;NA;7
