"";"Year";"Mo";"Da";"Ho";"Area";"Lat";"Lon";"Dep";"M"
"377";1790;12;2;1;"Kamchatka";54;162;20;7,5
"378";1792;6;13;16;"Hokkaido Shiribeshi";43,8;140;NA;7,1
"379";1792;8;9;NA;"Jiayi, Taiwan";23,6;120,6;NA;7
"380";1792;8;22;18;"Kamchatka";54;162;40;8,4
"381";1793;2;8;14;"Aomori Pref.";40,85;139,95;NA;7
"382";1793;2;17;14;"Miyagi, Iwate and Fukushima Pref.";38,5;144,5;NA;8,2
"383";1796;3;30;10;"[Chile]";-27,35;-70,35;NA;7,5
"384";1796;4;26;NA;"[Syria]";35,3;36,2;20;6,8
"385";1797;2;4;12;"[Ecuador]";-1,5;-78,6;NA;7,6
"386";1797;2;10;15;"Indonesia";-2;99;NA;8
"387";1799;8;27;NA;"Shiping and Baoxiu (Yunnan)";23,8;102,4;NA;7
"388";1802;10;25;NA;"[Panamá]";7,5;-80,4;10;6,7
"389";1802;10;26;10;"[Vrancea deep]";45,7;26,6;150;7,9
"390";1803;9;1;1;"Uttar.Pradesh";31,5;79;NA;7,4
"391";1803;12;7;NA;"Golfito (Subduction)";8,5;-83;30;7,1
"392";1804;NA;NA;NA;"las Casas";16,5;-92,667;NA;6,8
"393";1804;7;10;22;"Yamagata and Akita Pref.";39,05;139,95;NA;7
"394";1805;6;16;NA;"Honda (Tolima)";5,22;-74,75;NA;6,75
"395";1806;3;25;NA;"Colima";20,215;-103,41;NA;7,6
"396";1806;6;11;NA;"NW of Cuona, Xizang  (Tibet)";28,2;91,8;NA;7,5
"397";1810;2;16;22;"Heraklio";35,5;25,6;90;7,5
"398";1811;3;18;NA;"W coast of Xinzhu, Taiwan";24,8;120,8;NA;6,75
"399";1811;12;16;8;"[United States]";36;-89,96;NA;7,6
"400";1811;12;16;14;"[United States]";36;-90;NA;7,17
"401";1812;1;23;15;"[United States]";36,8;-89,5;NA;7,5
"402";1812;2;7;9;"[United States]";36,3;-89,4;NA;7,8
"403";1812;3;8;NA;"East of Nileke (Xinjiang)";43,7;83,5;NA;8
"404";1812;3;26;20;"Barquisimeto-San Felipe";10,2;-68,95;NA;7,4
"405";1812;3;26;20;"Caracas";10,6;-67,1;NA;7,1
"406";1812;4;21;NA;"[subduction]";35,39;139,62;NA;7,1
"407";1812;12;8;15;"[United States]";34,37;-117,65;NA;7,5
"408";1812;12;21;19;"[United States]";34,2;-119,8;NA;7,1
"409";1815;8;20;NA;"[El Salvador]";12,75;-89;NA;7,2
"410";1815;10;23;NA;"Pinglu (Shanxi)";34,8;111,2;NA;6,75
"411";1815;11;22;15;"Indonesia";-8;115;NA;7
"412";1816;2;2;0;"Offshore Portugal";37;-15;NA;7
"413";1816;7;23;0;"[Guatemala]";15,35;-91,25;10;7,7
"414";1816;10;14;NA;"Banda";-4,6;130,4;NA;7
"415";1816;12;8;NA;"Luhuo (Sichuan)";31,4;100,7;NA;7,5
"416";1817;7;4;17;"[Argentina]";-28;-64,5;30;7
"417";1818;3;18;NA;"Indonesia";-4,9;101,6;NA;7,5
"418";1818;5;31;NA;"Jalisco-Colima";19;-105;NA;8,2
"419";1818;11;8;15;"Indonesia";-7;117;NA;8,5
"420";1819;4;11;15;"[Chile]";-27,35;-70,35;NA;8,5
"421";1819;6;16;19;"Cutchch";23;69;NA;8,1
"422";1819;8;2;14;"Shiga Pref. and surrounding";35,2;136,3;NA;7,3
"423";1820;NA;NA;NA;"Off Congo";-4,5;11,6;NA;6,2
"424";1820;5;4;NA;"Costa de Guerrero";16,5;-99;NA;7,8
"425";1820;10;19;NA;"San Pedro Sula";14,98;-88;NA;6,5
"426";1820;12;29;1;"Indonesia";-7;119;NA;7,5
"427";1822;4;3;NA;"Bengal";24,32;90,72;15;7,1
"428";1822;5;7;NA;"Limon (San Estanislao Eq.)";9,63;-83,15;20;7,6
"429";1822;8;13;20;"Aafrine";36,7;36,9;NA;7,4
"430";1822;11;20;2;"[Chile]";-33,05;-71,63;NA;8,25
"431";1823;2;9;NA;"North Indian Ocean";7,62;84,69;15;7,9
"432";1823;6;NA;8;"Kaimu";19,25;-155;NA;7,2
"433";1824;10;26;NA;"Philippines";14,2;121,9;NA;7,4
"434";1825;3;2;7;"Algeria";36,5;2,9;NA;7
"435";1826;NA;NA;NA;"Milford Sound";-44,7;167,4;NA;8
"436";1826;4;3;NA;"Nicoya Peninsula";10;-85,5;45;7,1
"437";1827;9;1;NA;"[Guatemala]";13,75;-91,46;NA;7
"438";1827;11;16;23;"Timana (Huila)";1,9;-75,9;NA;7,75
"439";1828;6;7;6;"Pakistan";35;77;NA;7,4
"440";1829;3;8;NA;"[Russia]";51,7;101;NA;6,9
"441";1829;9;26;14;"[Chile]";-33,05;-71,63;NA;7
"442";1829;11;26;1;"[Vrancea deep]";45,8;26,6;150;7,3
"443";1829;12;17;NA;"Chiquimutilla";14,167;-90,25;NA;7,1
"444";1830;3;27;12;"Damavand-Shamiranat";35,7;52,5;NA;7,1
"445";1830;3;28;1;"Ambon";-4,05;128;NA;7
"446";1830;6;12;NA;"Cixian (Hebei)";36,4;114,3;NA;7,5
"447";1831;2;7;NA;"Jalpatagua";13,833;-89,583;NA;7,1
"448";1832;1;22;NA;"Badakhshan";36,5;71;NA;7,3
"449";1833;8;26;NA;"Nyalam, Xizang (Tibet)";28,3;85,5;NA;8
"450";1833;9;6;NA;"Songming and Yanglin (Yunnan)";25;103;NA;8
"451";1833;9;18;10;"[Peru]";-18,251;-71,01;60;7,2
"452";1833;10;2;NA;"Nicoya Peninsula ";10;-85,5;45;7
"453";1833;11;24;13;"Indonesia";-3,5;100;NA;9
"454";1833;12;7;15;"Yamagata and Akita Pref., Sado";38,9;139,25;NA;7,7
"455";1834;1;20;NA;"Carchi/Nariño";1,12;-77;NA;7,4
"456";1834;10;9;22;"Indonesia";-6,9;107;NA;7
"457";1835;2;20;15;"[Chile]";-36,83;-73,03;NA;8,25
"458";1835;7;20;14;"Sendai";38,5;142,5;NA;7
"459";1835;10;31;19;"Indonesia";-3,4;128,1;NA;7
"460";1836;11;28;2;"Indonesia";-8,3;118,7;NA;7,5
"461";1837;1;1;NA;"Dead Sea";33,3;35,5;NA;7
"462";1837;9;29;7;"Indonesia";5;94,5;NA;7,3
"463";1837;11;7;11;"[Chile]";-39,8;-73,2;NA;8
"464";1837;11;23;NA;"Oaxaca-sur de Guerrero";16;-98;NA;7,7
"465";1838;NA;NA;NA;"Nasratabad-I";29,6;59,9;NA;6,9
"466";1838;NA;NA;NA;"Utapu";-39,4;175;NA;7
"467";1838;1;23;18;"[Vrancea deep]";45,7;26,6;150;7,5
"468";1838;6;NA;NA;"[United States]";37,27;-122,23;NA;6,8
"469";1839;1;11;5;"Sud-Est Martinique";14,5;-60,5;NA;7,8
"470";1839;3;23;NA;"Myanmar";21,9;96;NA;8
"471";1839;5;1;14;"Kushiro (Akke)";42,5;145;NA;7,3
"472";1840;1;4;6;"Indonesia";-8;110,5;NA;7
"473";1840;2;13;16;"Indonesia";0,8;127,33;NA;7
"474";1840;2;18;NA;"West of Nicoya Peninsula";10,5;-86;35;7,1
"475";1840;7;2;16;"Turkey";39,6;44,1;24;7,4
"476";1841;5;17;21;"Kamchatka";52,5;159,5;30;8,4
"477";1842;2;19;11;"Kunar";34,7;71;NA;7,6
"478";1842;5;7;17;"Ile De La Tortue, Haiti";20,1;-72,817;NA;7,6
"479";1842;6;11;NA;"Close to Barkol (Xinjiang)";43,5;93,1;NA;7
"480";1842;9;16;4;"Zongguo";32,1;98,6;NA;7,3
"481";1842;11;11;21;"Bangla";24;90;NA;6,7
"482";1843;1;5;21;"Indonesia";1,2;97,8;NA;7,5
"483";1843;2;8;NA;"Lesser Antilles";16,34;-61,49;NA;7,8
"484";1843;4;25;NA;"Kuril Islands";44,7;149,7;40;8,2
"485";1843;7;8;4;"Wanganui";-39,6;176,2;NA;7,6
"486";1844;5;NA;NA;"Intraplate";11,2;-84,8;130;7,1
"487";1844;4;16;9;"Nord Porto-Rico";18,8;-66,6;NA;6,57
"488";1844;8;30;3;"E. Grenada";12,083;-60,717;NA;7
"489";1844;9;18;23;"[Argentina]";-24,8;-64,7;30;6,5
"490";1845;2;7;19;"Indonesia";2,6;122,6;NA;7
"491";1845;2;12;NA;"Wollo";12,5;39;NA;6,5
"492";1845;4;7;NA;"Costa de Guerrero";16,8;-100;NA;8,3
"493";1845;8;6;NA;"North East";26,09;90,89;15;7,1
"494";1846;1;25;1;"Indonesia";1,4;127,2;NA;7,2
"495";1846;3;28;17;"Heraklio";35,8;25;90;7,2
"496";1846;8;4;NA;"Huanghai (Yellow Sea)";33,5;122;NA;7
"497";1847;5;8;21;"Japan";36,7;138,2;NA;7,4
"498";1847;6;21;NA;"Kuril Islands";46;152;40;7,5
"499";1847;10;8;15;"[Chile]";-31,61;-71,18;NA;7
"500";1847;10;31;8;"Nicobar";6,9;93;NA;7,5
"501";1847;11;16;3;"Indonesia";-6,9;108,3;NA;7
"502";1848;10;15;14;"Marlborough";-41,8;173,7;NA;7,5
"503";1848;12;3;NA;"Zhanghua, Taiwan";24,1;120,5;NA;6,75
"504";1849;1;25;5;"Guam";14;143;NA;7,5
"505";1849;10;27;NA;"Esteli";13;-86,8;60;7,4
"506";1849;10;28;9;"Kamchatka";55;166;20;7,5
"507";1849;12;17;10;"[Chile]";-29,95;-71,37;NA;7,5
"508";1850;1;NA;NA;"Sudan";4,2;31,6;NA;6
"509";1850;9;12;NA;"Around Xichang and Puge (Sichuan)";27,7;102,4;NA;7,5
"510";1850;12;6;10;"[Chile]";-33,81;-70,22;NA;7,25
"511";1851;4;2;10;"[Chile]";-33,32;-71,42;NA;7,5
"512";1851;5;26;17;"[Chile]";-27,35;-70,35;NA;7,5
"513";1852;1;1;NA;"[United States]";39,5;-119,5;0;7,3
"514";1852;1;9;11;"Indonesia";-6,5;105,5;NA;7
"515";1852;7;7;6;"Nord Jamaique";19,383;-78,517;NA;7,5
"516";1852;8;20;8;"Santiago de Cuba";19,65;-76,15;NA;7,3
"517";1852;9;16;10;"Philippines";14,3;120,05;NA;7,6
"518";1852;11;11;NA;"Indonesia";1,1;97,7;NA;7,3
"519";1852;11;25;23;"Indonesia";-4,3;129,5;NA;8,3
"520";1852;11;26;15;"Cuba et Jamaique";19,833;-75,833;NA;6,5
"521";1852;12;16;NA;"Yellow Sea";34,5;121,5;NA;6,5
"522";1852;12;24;6;"Indonesia";-5;130,5;NA;7
"523";1853;2;9;NA;"Quezaltenango";14,833;-91,5;NA;6,8
"524";1853;3;11;NA;"[subduction]";35,31;139,15;NA;7
"525";1853;4;14;NA;"Yellow Sea";33,5;121,5;NA;6,5
"526";1853;7;15;NA;"[Venezuela]";12,1;-63,6;14;6,7
"527";1853;9;8;NA;"West of Nicoya Peninsula";10;-85,5;40;7,1
"528";1853;11;NA;NA;"Kuril Islands";47;154;40;7
"529";1854;2;15;3;"Near Guf Guf Graben";12,8;39;NA;6,3
"530";1854;4;16;NA;"Ilopango";13,68;-89,14;5;6,6
"531";1854;6;27;NA;"Kuril Islands";50,5;158;40;7
"532";1854;7;9;2;"Iga, Ise, Yamato";34,75;136;NA;7,3
"533";1854;8;5;NA;"Golfito (Subduction)";8,5;-83;33;7
"534";1854;12;23;9;"Tokai and Nankai do";34;137,8;NA;8,4
"535";1854;12;24;16;"Kinai , Nankaido";33;135;NA;8,4
"536";1854;12;26;10;"W side of Iyo , Bungo";33,3;132;NA;7,4
"537";1855;1;23;9;"Wairarapa";-41,2;175,2;33;8,2
"538";1855;2;28;1;"Proussa";40,183;29,067;NA;7,02
"539";1855;3;11;18;"Atlantic";2;-17,5;NA;6,5
"540";1855;4;25;NA;"Ternate";0,8;127,8;NA;7
"541";1855;7;14;8;"Indonesia";0,7;127,7;NA;7
"542";1855;9;13;NA;"Rikuzen";38,1;142;NA;7,3
"543";1855;9;25;NA;"Roatan";16,02;-86;NA;6,5
"544";1855;11;7;18;"Owari, Toutoumi";34,5;137,75;NA;7,3
"545";1855;11;11;NA;"[subduction]";35,5;139,8;NA;7,4
"546";1856;8;4;NA;"Gulf of  Honduras";16,75;-86,75;5;7
"547";1856;8;23;12;"Sanriku, Masaki";41;142,3;NA;7,7
"548";1856;10;12;2;"Heraklio";35,6;25,8;NA;7,7
"549";1857;1;9;16;"[United States]";36,2;-120,8;0;7,9
"550";1857;5;13;2;"Indonesia";-8;115,5;NA;7
"551";1857;10;12;8;"Iyo, Aki";34;132,5;NA;7,3
"552";1857;12;16;21;"Basilicata";40,352;15,842;NA;7,02
"553";1858;4;9;2;"Hida, Ecchu, Kaga";36,4;137,2;NA;7,1
"554";1858;6;19;NA;"Region central de Michoacan";19;-103;NA;7,5
"555";1858;7;8;20;"Aomori, Hachinohe";40,7;142;NA;7,3
"556";1858;8;24;15;"Arracan";19,1;95,1;NA;7,6
"557";1858;11;13;8;"Indonesia";1;126;NA;7,4
"558";1859;3;22;NA;"Quito";0,02;-78,75;NA;7,2
"559";1859;6;28;12;"Indonesia";1;126,5;NA;7
"560";1859;7;29;5;"Indonesia";0;125,5;NA;7,2
"561";1859;8;25;NA;"La Union";13,25;-87,75;NA;7,1
"562";1859;10;5;12;"[Chile]";-27,35;-70,35;NA;7,5
"563";1859;12;8;NA;"Ahuachapan and Santa Ana provinces";13,833;-89;NA;7,3
"564";1860;1;19;NA;"San Jose Oblspo";14,667;-90,75;NA;7,1
"565";1860;10;23;NA;"Mayaguez, Porto-Rico";18,217;-67,15;NA;6,57
"566";1860;12;3;NA;"Talnique to Cuscatancingo";13,75;-89,25;NA;7,1
"567";1861;2;16;12;"Indonesia";0,9;97,4;NA;8,5
"568";1861;3;9;13;"Indonesia";-1,2;98,3;NA;7
"569";1861;3;20;23;"[Argentina]";-32,9;-68,9;30;7
"570";1861;4;7;9;"Indonesia";-1,3;98,3;NA;7
"571";1861;4;25;23;"Indonesia";0;97,5;NA;7,5
"572";1861;8;23;NA;"Jalpatagua";14,083;-90;NA;6,7
"573";1861;9;25;6;"Indonesia";-0,9;98;NA;7
"574";1861;10;21;4;"Rikuzen";38,5;142;NA;7,3
"575";1862;1;12;7;"Baikal";52,3;106,7;40;7,5
"576";1862;6;21;5;"Melos";36,9;24,4;150;7
"577";1862;7;10;8;"Accra";5,5;-0,25;NA;6,8
"578";1862;12;19;NA;"Santa Ana";13,833;-89,583;NA;8,1
"579";1863;2;22;13;"Hawke's Bay";-40;176,5;NA;7,5
"580";1863;4;22;21;"Rhodos";36,4;27,6;90;7,5
"581";1863;8;17;NA;"Vanuatu";-19;168,5;NA;7,5
"582";1863;12;9;NA;"Nicoya coast";10;-85,5;40;7,3
"583";1864;5;22;16;"Indonesia";-3;135;NA;7,8
"584";1864;6;14;NA;"Genisea";40,58;25,401;NA;7,11
"585";1864;10;3;NA;"Puebla-Veracruz";19;-97;NA;7,4
"586";1865;12;NA;NA;"SW Coast .";12;-86;10;7,3
"587";1865;7;16;19;"Indonesia";-7;110,3;NA;7
"588";1865;11;18;NA;"Tonga";-19,5;-173,5;NA;8
"589";1865;12;15;NA;"Chittagong";22,3;91,05;15;6,8
"590";1866;5;12;18;"Gonek";39,2;41;NA;7,2
"591";1866;5;23;NA;"Nepal";27,12;85,26;15;7,4
"592";1866;9;6;NA;"Kamchatka";52,5;159,5;30;7
"593";1867;1;2;7;"Algeria";36,466;2,833;NA;7,3
"594";1867;2;4;4;"Lixouri";38,233;20,424;NA;7,15
"595";1867;6;9;21;"Indonesia";-8,7;111,6;NA;8
"596";1867;6;30;NA;"San Salvador and Cuscatlan provinces";13,667;-89,083;NA;7,1
"597";1867;11;14;NA;"Central Pacific Coast";12,48;-86,68;3;7,3
"598";1867;11;18;14;"Saint-Thomas, Iles Vierges";18,1;-65,133;NA;7,5
"599";1867;12;18;NA;"Between Jilong and Beihai, Taiwan";25,3;121,8;NA;7
"600";1868;3;29;0;"Island of Hawaii";19;-155,5;NA;7
"601";1868;4;3;NA;"Near south coast of Hawaii";19;-155,5;NA;7,5
"602";1868;8;13;20;"[Peru]";-18,5;-70,35;NA;8,5
"603";1868;8;15;NA;"El Angel";0,7;-77,92;NA;6,6
"604";1868;8;16;NA;"Ibarra";0,38;-78,43;NA;7,27
"605";1868;10;18;12;"Cape Farewell";-40,2;173;NA;7,2
"606";1868;10;21;15;"[United States]";37,7;-122,1;NA;6,8
"607";1869;1;10;17;"Cachar/Silchar";25,5;93;NA;7,3
"608";1869;8;24;16;"[Chile]";-19,6;-70,23;NA;7,5
"609";1870;4;11;NA;"Batang (Sichuan)";30;99,1;NA;7,25
"610";1870;6;12;NA;"Chiquimulilla";14,167;-90,167;NA;7,2
"611";1870;10;20;16;"[Canada]";47,4;-70,5;NA;6,55
"612";1871;2;20;8;"Near Lanai, Hawaii";20,8;-157;15;6,75
"613";1871;3;2;12;"Indonesia";0;128;NA;7
"614";1871;6;NA;NA;"Cuona and Luozha, Xizang  (Tibet)";28;91,5;NA;7,5
"615";1871;6;27;NA;"Panama Fracture Zone";7,8;-82,3;30;7
"616";1871;8;18;13;"Bengkulu";-5,3;102,4;NA;7,6
"617";1871;10;5;9;"[Chile]";-20,2;-70,17;NA;7
"618";1871;11;5;0;"Philippines";8,9;126,9;NA;7,3
"619";1871;12;8;9;"Philippines";7,3;123,75;NA;7
"620";1871;12;19;11;"Philippines";8,5;126,9;NA;7,2
"621";1871;12;23;18;"Quchan";37,4;58,4;NA;7,1
"622";1872;3;14;17;"W side of Shimane Pref.";35,15;132,1;NA;7,1
"623";1872;3;26;NA;"Owens Valley";36,65;-118,1;NA;7,45
"624";1872;3;26;14;"[United States]";36,9;-118,2;0;6,8
"625";1872;4;3;7;"Amik Gölü";36,4;36,5;NA;7,2
"626";1872;4;11;19;"[United States]";37,5;-118,5;0;6,8
"627";1872;12;15;5;"Washington-British Columbia Border";47,76;-119,9;NA;6,8
"628";1873;NA;NA;NA;"Papua New Guinea";-5,5;146;NA;8
"629";1873;2;22;NA;"[El Salvador]";13,6;-89;100;7
"630";1873;3;4;22;"[El Salvador]";13,7;-88,7;100;7,3
"631";1873;3;19;NA;"San Salvador";13,667;-89,167;NA;7,1
"632";1873;11;23;5;"[United States]";42,2;-124,2;NA;7,3
"633";1873;12;15;NA;"Barrow Range";-26,25;127,5;NA;6
"634";1874;5;3;7;"Gölcük Gölü";38,5;39,5;NA;7,1
"635";1874;9;3;NA;"Palzicia";14,667;-90,833;NA;7,1
"636";1874;11;16;NA;"Rhodos";36,5;27,9;NA;7
"637";1875;NA;NA;NA;"Papua New Guinea";-6;147;NA;7
"638";1875;2;11;NA;"Jalisco";21;-104;NA;7,1
"639";1875;3;27;22;"Indonesia";-9,8;111,5;NA;7,8
"640";1875;3;28;12;"Loyalty Island";-20;168,5;NA;8
"641";1875;5;10;NA;"Vanuatu";-18,5;168;NA;7
"642";1875;5;18;NA;"[Colombia]";7,95;-72,6;NA;7,41
"643";1875;10;24;22;"Indonesia";-6,9;108,3;NA;7
"644";1875;11;2;NA;"Anseba Faults";16;38,5;NA;6
"645";1876;7;25;20;"Philippines";10,1;126,4;NA;7,2
"646";1877;5;10;2;"[Chile]";-19,6;-70,23;NA;8
"647";1878;1;10;NA;"Vanuatu";-19;168,5;NA;7,5
"648";1878;1;23;NA;"[Peru]";-20,05;-77;40;7,9
"649";1878;2;11;NA;"Vanuatu";-19;168,5;NA;8
"650";1878;3;2;12;"Abbottabad";34;73,2;NA;6,7
"651";1878;5;9;4;"[United States]";40,4;-125,2;NA;7
"652";1878;10;11;5;"Atlantic";2,5;-15;NA;6,3
"653";1879;2;2;10;"[Chile]";-53;-70,67;NA;7
"654";1879;5;29;NA;"Panama-Costa Rica Border";8;-82,9;10;7
"655";1879;7;1;NA;"S of Wudu (Gansu)";33,2;104,7;NA;8
"656";1880;7;18;4;"Philippines";14,9;121,55;NA;7,6
"657";1880;8;15;12;"[Chile]";-31,62;-71,18;NA;7,5
"658";1881;4;29;NA;"Intraplate";11,5;-86,3;130;7,3
"659";1881;10;25;21;"East side of Hokkaido offshore";43,3;147,3;NA;7
"660";1881;12;31;1;"Car Nicobar";8,52;92,43;15;7,9
"661";1881;12;31;NA;"Car Nicobar";10,8;92,55;NA;7
"662";1882;3;3;NA;"Quepos";8,72;-84,25;20;7
"663";1882;7;19;NA;"Oaxaca";18;-98;NA;6,7
"664";1882;9;7;NA;"Offshore San Blas Archip.";10;-79;20;7,9
"665";1882;10;10;NA;"Indonesia";-4,5;129,9;NA;7,5
"666";1883;8;NA;NA;"Libya";30,2;9,5;NA;6
"667";1883;10;NA;NA;"Pulan (Burang), Xizang  (Tibet)";30,2;81,2;NA;7
"668";1884;2;10;5;"Siirt";37,5;42,5;NA;6,9
"669";1884;7;20;9;"Offshore Massawa";15,7;39,6;NA;6,2
"670";1885;2;22;7;"Philippines";7,9;127,1;NA;7,2
"671";1885;4;29;21;"Indonesia";-2,5;127,5;NA;7,2
"672";1885;5;29;2;"Srinagar";34,1;74,6;NA;6,3
"673";1885;7;23;2;"Philippines";8,85;123,1;NA;7
"674";1885;10;10;NA;"Southern Pacific Coast";12,25;-86,75;60;7
"675";1886;8;27;NA;"Philiatra";36,988;21,467;NA;7,16
"676";1886;9;1;2;"[United States]";33;-80,2;NA;6,9
"677";1887;2;2;15;"Philippines";11,45;122,05;NA;7,3
"678";1887;5;3;9;"[Mexico]";30,8;-109,25;NA;7,5
"679";1887;5;14;7;"Myrina";40,209;24,617;NA;7
"680";1887;6;8;23;"Middle Asia, Kazakhstan";43,1;76,8;20;7,3
"681";1887;7;17;7;"Heraklio";35,7;25,8;100;7,2
"682";1887;9;23;6;"Windward Passage, Haiti";19,95;-73,733;NA;6,7
"683";1887;11;29;13;"El Bordj";35,583;0;NA;6,7
"684";1887;12;16;NA;"Shiping (Yunnan)";23,7;102,5;NA;7
"685";1888;1;10;13;"[Venezuela]";11,3;-62,2;0;6,5
"686";1888;6;13;NA;"Bohai Gulf";38,5;119;NA;7,5
"687";1888;8;31;16;"North Canterbury";-42,6;172,55;NA;7
"688";1889;1;17;NA;"Nicoya coast";10,25;-85,8;30;7
"689";1889;7;11;22;"Middle Asia, Kazakhstan";43,2;78,7;40;8,3
"690";1889;9;6;NA;"Indonesia";3,1;125,6;NA;8
"691";1889;10;6;3;"Philippines";5,9;127;NA;7,3
"692";1890;2;9;NA;"Calico";34,7;-116,5;NA;7,2
"693";1890;12;12;0;"Indonesia";-6,4;111;NA;7
"694";1891;1;15;4;"Algeria";36,5;1,8;NA;7
"695";1891;6;24;19;"Philippines";7,6;126;NA;7,2
"696";1891;9;9;NA;"Analquito to Comasagua";13,617;-89,167;NA;7,1
"697";1891;10;5;NA;"Timor-Leste";-9;124;NA;7
"698";1891;10;28;6;"W side of Gifu Pref.";35,6;136,6;NA;8
"699";1892;1;26;16;"Tasman Sea";-40,3;149,5;NA;6,1
"700";1892;2;24;7;"[United States]";32,55;-115,65;0;7,3
"701";1892;5;16;11;"Guam";14;143;NA;7,5
"702";1892;5;17;13;"Indonesia";0,8;98;NA;7,5
"703";1892;11;18;NA;"Indonesia";-3;127,75;NA;7
"704";1893;3;2;22;"South Malatya";38;38,3;NA;7,1
"705";1893;6;4;2;"Sikotan Island offshore";43,5;148;NA;7,7
"706";1893;6;21;7;"Philippines";7,65;126,1;NA;7,3
"707";1893;8;17;14;"[Vrancea deep]";45,7;26,6;100;7,1
"708";1893;8;29;NA;"Daofu and Kangding (Sichuan)";30,6;101,5;NA;7
"709";1893;11;17;15;"Quchan";37;58,4;NA;7
"710";1894;3;22;19;"Nemuro offshore";42,5;146;NA;7,9
"711";1894;4;28;NA;"[Venezuela]";8,7;-71,7;NA;7,56
"712";1894;6;20;14;"E side of Tokyo metropolis";35,7;139,8;NA;7
"713";1894;8;31;12;"[Vrancea deep]";45,7;26,6;130;7,1
"714";1894;10;22;17;"NW side of Yamagata Pref.";38,9;139,9;NA;7
"715";1894;10;27;19;"[Argentina]";-30,5;-68,4;30;7,5
"716";1895;1;18;22;"S of Ibaraki Pref.";36,1;140,4;NA;7,2
"717";1895;3;6;8;"Papua New Guinea";-8,5;150;NA;7,5
"718";1895;7;5;NA;"Tashkurgan or Tashiku'ergan (Xinjiang)";37,7;75,1;NA;7
"719";1895;7;8;NA;"Krasnovodsk";39,5;54,6;NA;7,5
"720";1896;1;9;22;"Ibaraki offshore";36,5;141;NA;7,3
"721";1896;3;NA;NA;"Siqu (Serxu) and Luoxu (Sichuan)";32,5;98;NA;7
"722";1896;3;4;5;"Middle Asia, Kazakhstan";37;76;40;7,1
"723";1896;4;18;NA;"Timor-Leste";-8,3;126;NA;7
"724";1896;5;3;13;"[Ecuador]";-0,51;-80,45;NA;7
"725";1896;6;15;19;"Iwate Pref. offshore";39,5;144;NA;8,2
"726";1896;8;31;17;"E side of Akita Pref.";39,5;140,7;NA;7,2
"727";1896;9;23;23;"Middle Asia, Kazakhstan";37;71;160;7,5
"728";1896;11;18;2;"Kuril Islands";43,5;146;40;7,6
"729";1897;2;20;5;"Offshore of Miagi Pref.";38,1;141,9;NA;7,4
"730";1897;5;10;5;"Beachport";-37,33;139,75;NA;6,1
"731";1897;6;12;11;"Shillong";25,5;91;NA;8
"732";1897;8;5;9;"Offshore of Miagi Pref.";38,3;143,3;NA;7,7
"733";1897;9;20;16;"[Peru]";-11,913;-76,791;70;7,7
"734";1897;9;21;5;"Philippines";6;122;NA;8,7
"735";1897;10;19;7;"Philippines";12,4;125;NA;8,1
"736";1898;4;23;8;"Offshore of Miagi Pref.";38,6;142;NA;7,2
"737";1898;4;29;NA;"Intraplate";12;-86;100;7,4
"738";1898;6;2;21;"Tripole";37,6;22,6;90;7
"739";1898;9;1;18;"E Ishigaki-jima Isl. offshore";24,5;124,7;NA;7
"740";1898;11;17;12;"Vanuatu";-16,5;168,5;NA;7,2
"741";1899;1;14;2;"[Mexico]";20;-110;0;7
"742";1899;1;24;23;"[Mexico]";17,1;-100,5;0;7,9
"743";1899;3;7;9;"S of Mie Pref.";34,1;136,1;NA;7
"744";1899;4;16;NA;"West of Eureka";41;-126;NA;7,1
"745";1899;4;17;1;"South Pacific Ocean";-27;-167;NA;7,1
"746";1899;5;8;3;"Kuril Islands";43;146;40;7,2
"747";1899;6;3;4;"[Ecuador]";0;-85;NA;7,2
"748";1899;6;14;11;"[Jamaica]";18;-77;NA;7,3
"749";1899;7;14;13;"[United States]";58,65;-151,71;NA;7,2
"750";1899;8;24;15;"Norfolk Island";-27;165;NA;7,2
"751";1899;9;4;0;"[United States/Canada]";59,43;-143,05;NA;7,9
"752";1899;9;4;4;"[United States/Canada]";60;-142;NA;6,9
"753";1899;9;10;17;"[United States/Canada]";58,62;-139,07;NA;7,4
"754";1899;9;10;21;"[United States/Canada]";59,39;-139,5;NA;8
"755";1899;9;23;11;"Copper River delta, Alaska";60;-143;NA;6,9
"756";1899;9;23;12;"Copper River delta, Alaska";59;-143;NA;7
"757";1899;9;29;17;"Indonesia";-3;128,5;NA;7,4
"758";1899;10;19;9;"Papua New Guinea";-5;148;NA;7,1
"759";1899;11;24;9;"Indonesia";0;128;NA;7,2
"760";1899;11;25;3;"Miyazaki Pref. offshore";31,9;132;NA;7,1
"761";1900;1;5;19;"[Indonesia]";-3;102;NA;7
"762";1900;1;11;9;"[Papua New Guinea]";-5;148;NA;7
"763";1900;1;14;NA;"Indonesia";-6,9;106,8;NA;7
"764";1900;1;20;6;"[Mexico]";20;-105;0;7,3
"765";1900;1;31;19;"Japan";48;146;450;7,5
"766";1900;5;12;2;"N side of Miyagi Pref.";38,7;141,1;NA;7
"767";1900;5;16;20;"[Mexico]";20;-105;0;6,9
"768";1900;6;21;NA;"Nicoya coast";10;-85,5;50;7,2
"769";1900;7;29;6;"Solomon Islands";-10;165;NA;7,6
