iso3c;year;co2_percap
AND;1996;7.06507147296457
AND;2005;7.29987193629782
AND;2006;6.74621871565977
AND;1995;6.66205168363352
AND;2007;6.51946591197707
AND;1997;7.23971271783233
AND;1998;7.66078388575348
AND;1999;7.97545440422557
AND;2000;8.01928429423459
AND;2001;7.78695000074249
AND;2002;7.59061514082999
AND;2003;7.31576070618458
AND;2004;7.35862494097896
AND;2016;
AND;1991;7.18245663566904
AND;1992;6.91205338948512
AND;1993;6.73605484574634
AND;1994;6.4942004243981
AND;2008;6.42788662191006
AND;2009;6.12165234069759
AND;2010;6.12259470212791
AND;2011;5.86712994471708
AND;2012;5.91659691135616
AND;2013;5.90075258701787
AND;2014;5.83216995064565
AND;2015;
AND;1990;7.46733566933901
ARE;1990;27.9592452103943
ARE;1991;28.9391353210567
ARE;1992;27.8613684494539
ARE;2007;22.4398012133221
ARE;2008;22.8239471921498
ARE;2009;21.9085560836759
ARE;2010;19.4436902679391
ARE;2011;19.0764887762721
ARE;2012;19.8176842234884
ARE;2013;18.9541637858011
ARE;2014;23.3020225078816
ARE;2015;
ARE;2016;
ARE;2001;30.4911534224565
ARE;2002;24.1512489051195
ARE;2003;28.5525530661701
ARE;1993;29.8904510046865
ARE;2006;23.6310894324949
ARE;1997;15.4244313909948
ARE;1994;31.4043975873089
ARE;1995;28.8469907955668
ARE;1996;15.9700815240644
ARE;2005;25.3623726461177
ARE;1998;28.7143215022488
ARE;1999;26.2284277090733
ARE;2000;35.6782592296172
ARE;2004;27.7012080194113
AFG;1994;0.080039169665905
AFG;1991;0.187672723698956
AFG;1992;0.09966647428971
AFG;1990;0.213449805430825
AFG;2007;0.085417506362149
AFG;1995;0.072698618050625
AFG;1996;0.066044698489874
AFG;1997;0.059648382173374
AFG;1998;0.055207170017344
AFG;1999;0.042332597184162
AFG;2000;0.038506339979444
AFG;2001;0.039002334347
AFG;2002;0.048715548275579
AFG;2003;0.051829599939753
AFG;2004;0.039377827726456
AFG;2005;0.052948214891285
AFG;1993;0.08915403602189
AFG;2010;0.293836993688923
AFG;2011;0.412016938260872
AFG;2008;0.154101422395248
AFG;2009;0.241722682109421
AFG;2014;0.299444990875517
AFG;2015;
AFG;2012;0.350370580694022
AFG;2013;0.315601773217989
AFG;2006;0.06372847187223
AFG;2016;
ATG;1996;3.87898661871265
ATG;2006;4.91364436717201
ATG;1995;3.73578831551637
ATG;1994;3.73249766449616
ATG;2008;5.1945003135881
ATG;1997;3.96233550727434
ATG;1998;3.99530375324041
ATG;1999;4.03306815265608
ATG;2000;4.1239710949464
ATG;2001;4.09566525976698
